q question 
s statement 
b backchannel
f forward_looking
a agreement
% indeterminate
(^u unrelated_response
+ continuation
aap accept_part 
ad action_directive
aa accept
am maybe
ar reject
arp reject_part 
b default_continuer
b^m signal_understanding_via_mimic
ba appreciation
bc correct_misspeaking
bd downplaying
bf summarize
bh rhetorical_question_continuer
bk acknowledge_answer
br signal_non_understanding
br^m signal_non_understanding_via_mimic
br^c non_understanding_due_to_phone
by sympathetic_comment
cc commit 
co offer 
fa apology
fc conventional_closing 
fe exclamation
fo other_forward_function 
fp conventional_opening 
ft thanks
fw welcome
fx explicit_performative
na affirmative_descriptive
nd answer
ng negative_descriptive
nn no
no not_yes_or_no
ny yes
o other
oo open_option
qh rhetorical_question
qo open_ended_question
qr or_question 
qrr or_clause_on_yes_no_question
qw wh_question 
qw^d declarative_wh_question
qy yes_no_question
qy^d declarative_yes_no_question
sd descriptive
sv viewpoint
t1 self_talk
t3 third_party_talk
x nonspeech 
